Id,Nome,Email,Telefone,Cidade,Estado,DataCadastro,Status
1,Cliente 1,cliente1@email.com,(11) 90001-9417,São Paulo,SP,2024-04-22,Ativo
2,Cliente 2,cliente2@email.com,(11) 90002-1251,São Paulo,SP,2024-11-18,Ativo
3,Cliente 3,cliente3@email.com,(11) 90003-7033,São Paulo,SP,2024-03-15,Ativo
4,Cliente 4,cliente4@email.com,(11) 90004-6051,São Paulo,SP,2024-09-21,Ativo
5,Cliente 5,cliente5@email.com,(11) 90005-6954,São Paulo,SP,2024-09-27,Ativo
6,Cliente 6,cliente6@email.com,(11) 90006-2832,São Paulo,SP,2024-11-18,Ativo
7,Cliente 7,cliente7@email.com,(11) 90007-9687,São Paulo,SP,2024-09-24,Ativo
8,Cliente 8,cliente8@email.com,(11) 90008-9765,São Paulo,SP,2024-10-11,Ativo
9,Cliente 9,cliente9@email.com,(11) 90009-1707,São Paulo,SP,2024-11-13,Ativo
10,Cliente 10,cliente10@email.com,(11) 90010-5092,São Paulo,SP,2024-06-04,Ativo
11,Cliente 11,cliente11@email.com,(11) 90011-2820,São Paulo,SP,2024-10-02,Ativo
12,Cliente 12,cliente12@email.com,(11) 90012-8645,São Paulo,SP,2024-06-12,Ativo
13,Cliente 13,cliente13@email.com,(11) 90013-6470,São Paulo,SP,2024-07-20,Ativo
14,Cliente 14,cliente14@email.com,(11) 90014-9223,São Paulo,SP,2024-07-21,Ativo
15,Cliente 15,cliente15@email.com,(11) 90015-3207,São Paulo,SP,2024-11-25,Ativo
16,Cliente 16,cliente16@email.com,(11) 90016-5013,São Paulo,SP,2024-06-24,Ativo
17,Cliente 17,cliente17@email.com,(11) 90017-4999,São Paulo,SP,2024-03-15,Ativo
18,Cliente 18,cliente18@email.com,(11) 90018-1715,São Paulo,SP,2024-06-25,Ativo
19,Cliente 19,cliente19@email.com,(11) 90019-7219,São Paulo,SP,2024-06-22,Ativo
20,Cliente 20,cliente20@email.com,(11) 90020-6456,São Paulo,SP,2024-02-22,Ativo
21,Cliente 21,cliente21@email.com,(11) 90021-5313,São Paulo,SP,2024-06-14,Ativo
22,Cliente 22,cliente22@email.com,(11) 90022-4276,São Paulo,SP,2024-02-09,Ativo
23,Cliente 23,cliente23@email.com,(11) 90023-5710,São Paulo,SP,2024-10-18,Ativo
24,Cliente 24,cliente24@email.com,(11) 90024-8031,São Paulo,SP,2024-04-06,Ativo
25,Cliente 25,cliente25@email.com,(11) 90025-3758,São Paulo,SP,2024-06-11,Ativo
26,Cliente 26,cliente26@email.com,(11) 90026-8303,São Paulo,SP,2024-05-12,Ativo
27,Cliente 27,cliente27@email.com,(11) 90027-1809,São Paulo,SP,2024-05-27,Ativo
28,Cliente 28,cliente28@email.com,(11) 90028-8172,São Paulo,SP,2024-07-12,Ativo
29,Cliente 29,cliente29@email.com,(11) 90029-2949,São Paulo,SP,2024-01-22,Ativo
30,Cliente 30,cliente30@email.com,(11) 90030-7887,São Paulo,SP,2024-08-23,Ativo
31,Cliente 31,cliente31@email.com,(11) 90031-2514,São Paulo,SP,2024-05-11,Ativo
32,Cliente 32,cliente32@email.com,(11) 90032-2539,São Paulo,SP,2024-09-02,Ativo
33,Cliente 33,cliente33@email.com,(11) 90033-2390,São Paulo,SP,2024-11-17,Ativo
34,Cliente 34,cliente34@email.com,(11) 90034-4610,São Paulo,SP,2024-02-13,Ativo
35,Cliente 35,cliente35@email.com,(11) 90035-7717,São Paulo,SP,2024-04-22,Ativo
36,Cliente 36,cliente36@email.com,(11) 90036-4885,São Paulo,SP,2024-10-26,Ativo
37,Cliente 37,cliente37@email.com,(11) 90037-7322,São Paulo,SP,2024-01-05,Ativo
38,Cliente 38,cliente38@email.com,(11) 90038-3672,São Paulo,SP,2024-05-24,Ativo
39,Cliente 39,cliente39@email.com,(11) 90039-5436,São Paulo,SP,2024-04-15,Ativo
40,Cliente 40,cliente40@email.com,(11) 90040-3282,São Paulo,SP,2024-11-22,Ativo
41,Cliente 41,cliente41@email.com,(11) 90041-3991,São Paulo,SP,2024-06-22,Ativo
42,Cliente 42,cliente42@email.com,(11) 90042-4516,São Paulo,SP,2024-09-20,Ativo
43,Cliente 43,cliente43@email.com,(11) 90043-8042,São Paulo,SP,2024-02-27,Ativo
44,Cliente 44,cliente44@email.com,(11) 90044-7786,São Paulo,SP,2024-03-09,Ativo
45,Cliente 45,cliente45@email.com,(11) 90045-6427,São Paulo,SP,2024-07-07,Ativo
46,Cliente 46,cliente46@email.com,(11) 90046-3025,São Paulo,SP,2024-05-24,Ativo
47,Cliente 47,cliente47@email.com,(11) 90047-9747,São Paulo,SP,2024-07-07,Ativo
48,Cliente 48,cliente48@email.com,(11) 90048-3033,São Paulo,SP,2024-02-18,Ativo
49,Cliente 49,cliente49@email.com,(11) 90049-3631,São Paulo,SP,2024-05-16,Ativo
50,Cliente 50,cliente50@email.com,(11) 90050-1767,São Paulo,SP,2024-08-06,Ativo
51,Cliente 51,cliente51@email.com,(11) 90051-7239,São Paulo,SP,2024-09-25,Ativo
52,Cliente 52,cliente52@email.com,(11) 90052-4862,São Paulo,SP,2024-02-14,Ativo
53,Cliente 53,cliente53@email.com,(11) 90053-8517,São Paulo,SP,2024-01-14,Ativo
54,Cliente 54,cliente54@email.com,(11) 90054-6700,São Paulo,SP,2024-05-14,Ativo
55,Cliente 55,cliente55@email.com,(11) 90055-1204,São Paulo,SP,2024-08-12,Ativo
56,Cliente 56,cliente56@email.com,(11) 90056-7803,São Paulo,SP,2024-09-19,Ativo
57,Cliente 57,cliente57@email.com,(11) 90057-3219,São Paulo,SP,2024-04-19,Ativo
58,Cliente 58,cliente58@email.com,(11) 90058-6462,São Paulo,SP,2024-03-18,Ativo
59,Cliente 59,cliente59@email.com,(11) 90059-9947,São Paulo,SP,2024-11-17,Ativo
60,Cliente 60,cliente60@email.com,(11) 90060-9838,São Paulo,SP,2024-08-24,Ativo
61,Cliente 61,cliente61@email.com,(11) 90061-3372,São Paulo,SP,2024-10-04,Ativo
62,Cliente 62,cliente62@email.com,(11) 90062-8925,São Paulo,SP,2024-06-14,Ativo
63,Cliente 63,cliente63@email.com,(11) 90063-5783,São Paulo,SP,2024-04-14,Ativo
64,Cliente 64,cliente64@email.com,(11) 90064-2908,São Paulo,SP,2024-01-10,Ativo
65,Cliente 65,cliente65@email.com,(11) 90065-8657,São Paulo,SP,2024-04-13,Ativo
66,Cliente 66,cliente66@email.com,(11) 90066-8973,São Paulo,SP,2024-06-27,Ativo
67,Cliente 67,cliente67@email.com,(11) 90067-5570,São Paulo,SP,2024-04-20,Ativo
68,Cliente 68,cliente68@email.com,(11) 90068-2246,São Paulo,SP,2024-03-14,Ativo
69,Cliente 69,cliente69@email.com,(11) 90069-9854,São Paulo,SP,2024-10-19,Ativo
70,Cliente 70,cliente70@email.com,(11) 90070-7534,São Paulo,SP,2024-02-14,Ativo
71,Cliente 71,cliente71@email.com,(11) 90071-8869,São Paulo,SP,2024-06-21,Ativo
72,Cliente 72,cliente72@email.com,(11) 90072-2831,São Paulo,SP,2024-07-13,Ativo
